[Wed May 25 12:24:19.679529 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679535 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679543 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679552 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679559 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3359, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679566 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679574 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   7. wp_save_post_revision() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679580 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   8. _wp_put_post_revision() /home/serg/site/gmb/wp-includes/revision.php:159, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679587 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   9. wp_insert_post() /home/serg/site/gmb/wp-includes/revision.php:273, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679595 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP  10. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679601 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP  11. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679607 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP  12. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693451 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693476 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693486 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693491 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693496 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693510 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693515 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693519 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.693523 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:31:20.744992 2016] [:error] [pid 12665] [client 127.0.0.1:56081] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:31:20.745023 2016] [:error] [pid 12665] [client 127.0.0.1:56081] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:31:20.745039 2016] [:error] [pid 12665] [client 127.0.0.1:56081] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
